complaint_id,date_filed,category,narrative,state,channel,status,resolution_days
C000493,2025-02-14,Digital Banking / UPI,UPI transaction failed but amount debited. The mobile banking app is showing an incorrect balance that does not match my passbook entries.,Bihar,Branch,Resolved,15
C000494,2025-02-27,ATM / Card Issues,Card declined despite sufficient balance. My debit card was blocked suddenly and I was not informed of the reason despite calling customer care.,Gujarat,Website,Resolved,15
C000495,2026-04-05,Digital Banking / UPI,UPI transaction failed but amount debited. The mobile banking app is showing an incorrect balance that does not match my passbook entries.,Rajasthan,Email,Resolved,5
C000496,2025-07-06,ATM / Card Issues,Card declined despite sufficient balance. My prepaid card was blocked suddenly and I was not informed of the reason despite calling customer care.,Madhya Pradesh,Call Centre,Pending,
C000497,2025-03-12,ATM / Card Issues,Card declined despite sufficient balance. My card transaction was declined at a merchant outlet even though I had sufficient balance in my account.,Karnataka,Website,Resolved,6
C000498,2025-04-09,Charges / Fees,SMS alert charges billed incorrectly. The GST charged on my banking fees this month is higher than the applicable rate.,Odisha,Website,Resolved,10
C000499,2025-05-14,Digital Banking / UPI,UPI transaction failed but amount debited. A fund transfer of Rs 500 initiated three days ago is still showing as pending status.,Punjab,Email,Closed - No Action,8
C000500,2026-03-16,Digital Banking / UPI,UPI transaction failed but amount debited. My UPI autopay mandate deducted Rs 10000 which is more than the agreed subscription amount.,Punjab,Email,Resolved,8
C000501,2025-04-11,Charges / Fees,Excess GST charged on banking fees. The GST charged on my banking fees this month is higher than the applicable rate.,Odisha,Mobile App,Resolved,8
C000502,2025-01-06,Loan / Credit,EMI deducted twice in the same month. I was charged foreclosure charges of Rs 50000 that were never explained to me when I took the loan.,Punjab,Mobile App,Pending,
C000503,2026-01-20,Digital Banking / UPI,UPI autopay deducted incorrect amount. My UPI transaction of Rs 25000 failed on the app but the amount was debited from my account and not reversed.,Kerala,Call Centre,Pending,
C000504,2025-09-17,Account Opening / KYC,Repeated requests for KYC documents already submitted. My re-KYC request submitted online has not been processed for over a month.,Madhya Pradesh,Email,Resolved,19
C000505,2026-02-28,Digital Banking / UPI,Fund transfer stuck in pending status. The mobile banking app is showing an incorrect balance that does not match my passbook entries.,Madhya Pradesh,Website,Resolved,5
C000506,2026-02-12,Account Opening / KYC,Nominee details not updated despite request. My account has been frozen citing a KYC mismatch even though my documents are valid and up to date.,Haryana,Mobile App,Pending,
C000507,2025-08-08,Customer Service,Branch staff misbehavior during visit. I have called customer care multiple times over the past week regarding my issue but have received no response.,Punjab,Call Centre,Resolved,7
C000508,2025-01-06,Charges / Fees,SMS alert charges billed incorrectly. My account statement shows multiple charges of Rs 25000 that were never explained to me.,Haryana,Branch,Escalated,
C000509,2025-09-27,Account Opening / KYC,Account not activated despite KYC completion. I completed my KYC formalities over three weeks ago but my account is still not activated.,Gujarat,Email,Resolved,10
C000510,2025-06-29,Digital Banking / UPI,UPI autopay deducted incorrect amount. My UPI transaction of Rs 25000 failed on the app but the amount was debited from my account and not reversed.,Rajasthan,Mobile App,Pending,
C000511,2026-06-07,ATM / Card Issues,"Card blocked without any prior notice. I attempted to withdraw Rs 25000 from an ATM but cash was not dispensed, yet my account was debited.",Karnataka,Website,Resolved,9
C000512,2025-06-11,ATM / Card Issues,"Card blocked without any prior notice. I attempted to withdraw Rs 500 from an ATM but cash was not dispensed, yet my account was debited.",Telangana,Email,Resolved,8
C000513,2025-03-12,Account Opening / KYC,Nominee details not updated despite request. I completed my KYC formalities over three weeks ago but my account is still not activated.,Madhya Pradesh,Call Centre,Closed - No Action,14
C000514,2025-08-20,Customer Service,Complaint ticket closed without resolution. My previous complaint ticket was closed by the bank without actually resolving the underlying issue.,Bihar,Mobile App,Resolved,13
C000515,2025-03-16,Loan / Credit,Credit score impacted due to incorrect reporting. The interest charged on my loan account does not match the amortization schedule shared at the time of sanction.,West Bengal,Mobile App,Resolved,21
C000516,2025-09-14,Charges / Fees,Excess GST charged on banking fees. The GST charged on my banking fees this month is higher than the applicable rate.,Gujarat,Website,Pending,
C000517,2025-01-29,Account Opening / KYC,Delay in re-KYC process. My re-KYC request submitted online has not been processed for over a month.,Punjab,Branch,Resolved,8
C000518,2026-06-13,Customer Service,Long waiting time for grievance redressal. My previous complaint ticket was closed by the bank without actually resolving the underlying issue.,Kerala,Call Centre,Resolved,14
C000519,2025-03-19,ATM / Card Issues,ATM swallowed my debit card. I was charged twice for a single annual card fee this quarter.,Karnataka,Website,Resolved,11
C000520,2025-08-29,Loan / Credit,Delay in loan disbursement. I was charged foreclosure charges of Rs 2500 that were never explained to me when I took the loan.,Haryana,Call Centre,Pending,
C000521,2025-12-31,ATM / Card Issues,Card blocked without any prior notice. My card transaction was declined at a merchant outlet even though I had sufficient balance in my account.,Maharashtra,Mobile App,Resolved,13
C000522,2026-05-09,Fraud / Unauthorized Transactions,Phishing call led to unauthorized transfer. I received a call from an unknown number claiming to be from the bank and my account was debited by Rs 15000 without my authorization.,Odisha,Website,Resolved,3
C000523,2025-10-14,Charges / Fees,SMS alert charges billed incorrectly. The GST charged on my banking fees this month is higher than the applicable rate.,Punjab,Website,Resolved,20
C000524,2025-02-03,ATM / Card Issues,ATM swallowed my debit card. My card transaction was declined at a merchant outlet even though I had sufficient balance in my account.,Delhi,Email,Resolved,1
C000525,2025-01-13,Fraud / Unauthorized Transactions,Money debited without my consent. I received a call from an unknown number claiming to be from the bank and my account was debited by Rs 25000 without my authorization.,Gujarat,Website,Pending,
C000526,2025-07-11,Fraud / Unauthorized Transactions,Phishing call led to unauthorized transfer. Someone used my UPI ID to transfer Rs 7500 without my knowledge or consent.,Karnataka,Call Centre,Resolved,14
C000527,2026-05-26,Account Opening / KYC,Account frozen due to KYC mismatch. The branch keeps asking for documents that I have already submitted twice for KYC verification.,West Bengal,Email,Resolved,1
C000528,2025-08-23,Loan / Credit,Credit score impacted due to incorrect reporting. I was charged foreclosure charges of Rs 15000 that were never explained to me when I took the loan.,Kerala,Call Centre,Escalated,
C000529,2025-05-30,Charges / Fees,Hidden charges on account statement. SMS alert charges of Rs 3000 were deducted even though I have not used the SMS alert facility.,Kerala,Branch,Escalated,
C000530,2025-05-18,Account Opening / KYC,Delay in re-KYC process. My re-KYC request submitted online has not been processed for over a month.,Haryana,Website,Closed - No Action,13
C000531,2025-02-18,Digital Banking / UPI,Unable to reset net banking password. I am unable to reset my net banking password despite following the official reset procedure multiple times.,Haryana,Call Centre,Resolved,8
C000532,2026-01-05,Account Opening / KYC,Account frozen due to KYC mismatch. My account has been frozen citing a KYC mismatch even though my documents are valid and up to date.,Madhya Pradesh,Call Centre,Resolved,7
C000533,2025-07-23,Loan / Credit,Incorrect interest calculation on my loan account. My EMI of Rs 500 was deducted twice from my account in the same billing cycle.,Punjab,Call Centre,Resolved,4
C000534,2026-01-26,Loan / Credit,Delay in loan disbursement. The interest charged on my loan account does not match the amortization schedule shared at the time of sanction.,Rajasthan,Branch,Resolved,2
C000535,2026-02-19,Charges / Fees,Hidden charges on account statement. The GST charged on my banking fees this month is higher than the applicable rate.,Maharashtra,Mobile App,Escalated,
C000536,2025-10-26,ATM / Card Issues,Duplicate card charges applied. I was charged twice for a single annual card fee this quarter.,Bihar,Email,Pending,
C000537,2026-04-07,Loan / Credit,Credit score impacted due to incorrect reporting. My credit score has been negatively impacted due to incorrect reporting of my loan repayment status.,Kerala,Branch,Resolved,9
C000538,2026-02-11,Customer Service,Branch staff misbehavior during visit. I was treated rudely by the branch staff when I visited to resolve my account issue.,Maharashtra,Email,Resolved,10
C000539,2025-03-27,Digital Banking / UPI,Fund transfer stuck in pending status. My UPI autopay mandate deducted Rs 500 which is more than the agreed subscription amount.,Odisha,Email,Resolved,7
C000540,2025-05-10,Loan / Credit,EMI deducted twice in the same month. There has been an unexplained delay of over a month in disbursement of my sanctioned loan amount.,Haryana,Branch,Resolved,7
C000541,2026-04-24,Fraud / Unauthorized Transactions,Money debited without my consent. My account was compromised and Rs 500 was withdrawn through an ATM I never visited.,Rajasthan,Branch,Closed - No Action,4
C000542,2026-04-13,Customer Service,Unable to reach relationship manager. I have been unable to reach my assigned relationship manager despite repeated attempts.,Telangana,Website,Pending,
C000543,2025-08-21,Account Opening / KYC,Account frozen due to KYC mismatch. My re-KYC request submitted online has not been processed for over a month.,Rajasthan,Call Centre,Escalated,
C000544,2025-01-11,Loan / Credit,Loan foreclosure charges not disclosed. My EMI of Rs 10000 was deducted twice from my account in the same billing cycle.,Haryana,Branch,Resolved,7
C000545,2026-05-19,Loan / Credit,Credit score impacted due to incorrect reporting. The interest charged on my loan account does not match the amortization schedule shared at the time of sanction.,Gujarat,Call Centre,Closed - No Action,8
C000546,2025-07-13,Digital Banking / UPI,UPI autopay deducted incorrect amount. I am unable to reset my net banking password despite following the official reset procedure multiple times.,Madhya Pradesh,Email,Resolved,9
C000547,2025-08-14,Account Opening / KYC,Delay in re-KYC process. My re-KYC request submitted online has not been processed for over a month.,Punjab,Website,Resolved,5
C000548,2026-02-27,Charges / Fees,Excess GST charged on banking fees. I was charged a minimum balance penalty despite maintaining the required average monthly balance.,Maharashtra,Branch,Resolved,11
C000549,2026-04-09,ATM / Card Issues,ATM swallowed my debit card. My card transaction was declined at a merchant outlet even though I had sufficient balance in my account.,Uttar Pradesh,Branch,Resolved,6
C000550,2025-10-16,Fraud / Unauthorized Transactions,Fraudulent transaction on my debit card. I received a call from an unknown number claiming to be from the bank and my account was debited by Rs 25000 without my authorization.,Kerala,Email,Resolved,6
C000551,2025-01-16,Customer Service,No response from customer care for over a week. I was treated rudely by the branch staff when I visited to resolve my account issue.,Punjab,Email,Resolved,6
C000552,2025-05-30,Loan / Credit,EMI deducted twice in the same month. The interest charged on my loan account does not match the amortization schedule shared at the time of sanction.,Punjab,Email,Resolved,13
C000553,2025-09-14,Fraud / Unauthorized Transactions,Fraudulent transaction on my prepaid card. I noticed an unauthorized transaction of Rs 25000 on my prepaid card statement which I did not perform.,Haryana,Mobile App,Escalated,
C000554,2025-02-04,Fraud / Unauthorized Transactions,OTP fraud - amount deducted without authorization. I noticed an unauthorized transaction of Rs 3000 on my prepaid card statement which I did not perform.,Telangana,Branch,Resolved,8
C000555,2025-02-13,Account Opening / KYC,Account frozen due to KYC mismatch. The branch keeps asking for documents that I have already submitted twice for KYC verification.,Madhya Pradesh,Website,Pending,
C000556,2026-01-05,Fraud / Unauthorized Transactions,Money debited without my consent. I noticed an unauthorized transaction of Rs 4999 on my prepaid card statement which I did not perform.,Haryana,Branch,Escalated,
C000557,2025-06-21,Fraud / Unauthorized Transactions,Money debited without my consent. I received a call from an unknown number claiming to be from the bank and my account was debited by Rs 3000 without my authorization.,Bihar,Mobile App,Escalated,
C000558,2026-05-02,Account Opening / KYC,"Account not activated despite KYC completion. Despite submitting the nominee update form, the nominee details on my account remain unchanged.",Delhi,Call Centre,Pending,
C000559,2025-04-04,Charges / Fees,SMS alert charges billed incorrectly. My account statement shows multiple charges of Rs 1200 that were never explained to me.,West Bengal,Mobile App,Pending,
C000560,2025-05-09,Fraud / Unauthorized Transactions,Phishing call led to unauthorized transfer. I received a call from an unknown number claiming to be from the bank and my account was debited by Rs 7500 without my authorization.,West Bengal,Website,Resolved,6
C000561,2026-01-22,Charges / Fees,SMS alert charges billed incorrectly. I was charged Rs 7500 as account maintenance charges without prior intimation.,Rajasthan,Email,Resolved,17
C000562,2025-07-11,Digital Banking / UPI,Mobile banking app not reflecting correct balance. My UPI autopay mandate deducted Rs 4999 which is more than the agreed subscription amount.,West Bengal,Email,Resolved,18
C000563,2025-06-08,Loan / Credit,Incorrect interest calculation on my loan account. My credit score has been negatively impacted due to incorrect reporting of my loan repayment status.,Rajasthan,Mobile App,Resolved,12
C000564,2026-01-08,Charges / Fees,SMS alert charges billed incorrectly. I was charged Rs 25000 as account maintenance charges without prior intimation.,Karnataka,Call Centre,Pending,
C000565,2026-05-25,Customer Service,Branch staff misbehavior during visit. I have been unable to reach my assigned relationship manager despite repeated attempts.,Delhi,Website,Pending,
C000566,2025-04-09,Loan / Credit,EMI deducted twice in the same month. The interest charged on my loan account does not match the amortization schedule shared at the time of sanction.,Maharashtra,Mobile App,Resolved,2
C000567,2025-04-20,Charges / Fees,Unexplained deduction of maintenance charges. SMS alert charges of Rs 2500 were deducted even though I have not used the SMS alert facility.,Haryana,Email,Resolved,15
C000568,2025-08-15,Customer Service,No response from customer care for over a week. My previous complaint ticket was closed by the bank without actually resolving the underlying issue.,Maharashtra,Mobile App,Resolved,13
C000569,2026-01-05,ATM / Card Issues,"ATM swallowed my debit card. I attempted to withdraw Rs 15000 from an ATM but cash was not dispensed, yet my account was debited.",West Bengal,Mobile App,Resolved,14
C000570,2025-03-14,Charges / Fees,Excess GST charged on banking fees. I was charged Rs 50000 as account maintenance charges without prior intimation.,Maharashtra,Branch,Escalated,
C000571,2026-01-30,Digital Banking / UPI,Mobile banking app not reflecting correct balance. My UPI autopay mandate deducted Rs 1200 which is more than the agreed subscription amount.,Madhya Pradesh,Branch,Resolved,6
C000572,2026-01-02,Digital Banking / UPI,UPI transaction failed but amount debited. My UPI autopay mandate deducted Rs 2500 which is more than the agreed subscription amount.,Kerala,Email,Pending,
C000573,2026-06-01,Fraud / Unauthorized Transactions,Phishing call led to unauthorized transfer. My account was compromised and Rs 2500 was withdrawn through an ATM I never visited.,Rajasthan,Call Centre,Resolved,20
C000574,2026-03-17,Loan / Credit,EMI deducted twice in the same month. There has been an unexplained delay of over a month in disbursement of my sanctioned loan amount.,West Bengal,Website,Escalated,
C000575,2025-09-18,ATM / Card Issues,ATM swallowed my debit card. My card transaction was declined at a merchant outlet even though I had sufficient balance in my account.,Rajasthan,Email,Resolved,27
C000576,2025-01-17,Account Opening / KYC,"Account frozen due to KYC mismatch. Despite submitting the nominee update form, the nominee details on my account remain unchanged.",Tamil Nadu,Branch,Resolved,14
C000577,2026-06-08,ATM / Card Issues,Duplicate card charges applied. My card transaction was declined at a merchant outlet even though I had sufficient balance in my account.,Odisha,Website,Resolved,8
C000578,2025-06-09,ATM / Card Issues,ATM swallowed my debit card. I was charged twice for a single annual card fee this quarter.,Karnataka,Call Centre,Resolved,3
C000579,2025-08-11,Charges / Fees,Excess GST charged on banking fees. My account statement shows multiple charges of Rs 4999 that were never explained to me.,Kerala,Call Centre,Pending,
C000580,2025-04-08,Charges / Fees,Hidden charges on account statement. The GST charged on my banking fees this month is higher than the applicable rate.,Tamil Nadu,Mobile App,Resolved,14
C000581,2025-12-09,Customer Service,No response from customer care for over a week. I have called customer care multiple times over the past week regarding my issue but have received no response.,Haryana,Mobile App,Resolved,11
C000582,2025-11-09,Charges / Fees,Hidden charges on account statement. I was charged Rs 3000 as account maintenance charges without prior intimation.,West Bengal,Website,Resolved,3
C000583,2025-06-06,Digital Banking / UPI,UPI autopay deducted incorrect amount. The mobile banking app is showing an incorrect balance that does not match my passbook entries.,Rajasthan,Website,Resolved,8
C000584,2025-10-24,Digital Banking / UPI,Mobile banking app not reflecting correct balance. A fund transfer of Rs 25000 initiated three days ago is still showing as pending status.,Delhi,Branch,Escalated,
C000585,2026-02-13,Loan / Credit,Credit score impacted due to incorrect reporting. The interest charged on my loan account does not match the amortization schedule shared at the time of sanction.,Gujarat,Website,Resolved,3
C000586,2025-07-22,Account Opening / KYC,"Delay in re-KYC process. Despite submitting the nominee update form, the nominee details on my account remain unchanged.",Bihar,Website,Resolved,6
C000587,2025-11-28,ATM / Card Issues,Duplicate card charges applied. The ATM machine retained my card and I have not received it back after multiple visits to the branch.,Bihar,Mobile App,Pending,
C000588,2025-07-15,Fraud / Unauthorized Transactions,Money debited without my consent. Someone used my UPI ID to transfer Rs 10000 without my knowledge or consent.,Bihar,Mobile App,Resolved,5
C000589,2026-03-29,Charges / Fees,Minimum balance penalty despite maintaining balance. The GST charged on my banking fees this month is higher than the applicable rate.,Rajasthan,Mobile App,Pending,
C000590,2025-03-29,Charges / Fees,Minimum balance penalty despite maintaining balance. SMS alert charges of Rs 3000 were deducted even though I have not used the SMS alert facility.,Odisha,Branch,Resolved,22
C000591,2025-11-09,Charges / Fees,Minimum balance penalty despite maintaining balance. I was charged Rs 4999 as account maintenance charges without prior intimation.,Uttar Pradesh,Call Centre,Resolved,13
C000592,2026-06-20,ATM / Card Issues,Card blocked without any prior notice. My card transaction was declined at a merchant outlet even though I had sufficient balance in my account.,Madhya Pradesh,Email,Pending,
C000593,2026-06-24,Digital Banking / UPI,Fund transfer stuck in pending status. My UPI autopay mandate deducted Rs 2500 which is more than the agreed subscription amount.,Punjab,Website,Resolved,11
C000594,2026-02-02,Loan / Credit,Incorrect interest calculation on my loan account. The interest charged on my loan account does not match the amortization schedule shared at the time of sanction.,Telangana,Call Centre,Pending,
C000595,2025-08-25,Charges / Fees,Minimum balance penalty despite maintaining balance. My account statement shows multiple charges of Rs 1200 that were never explained to me.,Madhya Pradesh,Mobile App,Closed - No Action,13
C000596,2026-05-28,Loan / Credit,Loan foreclosure charges not disclosed. I was charged foreclosure charges of Rs 15000 that were never explained to me when I took the loan.,Uttar Pradesh,Branch,Closed - No Action,1
C000597,2025-06-10,Digital Banking / UPI,Fund transfer stuck in pending status. A fund transfer of Rs 4999 initiated three days ago is still showing as pending status.,Telangana,Call Centre,Resolved,5
C000598,2025-03-05,Loan / Credit,Credit score impacted due to incorrect reporting. My EMI of Rs 4999 was deducted twice from my account in the same billing cycle.,Odisha,Email,Pending,
C000599,2025-12-16,Charges / Fees,SMS alert charges billed incorrectly. SMS alert charges of Rs 500 were deducted even though I have not used the SMS alert facility.,Telangana,Branch,Escalated,
C000600,2025-06-06,Fraud / Unauthorized Transactions,OTP fraud - amount deducted without authorization. I noticed an unauthorized transaction of Rs 10000 on my credit card statement which I did not perform.,Rajasthan,Website,Resolved,5
C000601,2025-07-27,ATM / Card Issues,Card declined despite sufficient balance. My card transaction was declined at a merchant outlet even though I had sufficient balance in my account.,Tamil Nadu,Website,Escalated,
C000602,2025-11-22,ATM / Card Issues,Card declined despite sufficient balance. My credit card was blocked suddenly and I was not informed of the reason despite calling customer care.,Madhya Pradesh,Mobile App,Resolved,16
C000603,2026-02-28,ATM / Card Issues,ATM did not dispense cash but amount debited. I was charged twice for a single annual card fee this quarter.,Haryana,Call Centre,Closed - No Action,5
C000604,2025-01-27,ATM / Card Issues,Card blocked without any prior notice. My debit card was blocked suddenly and I was not informed of the reason despite calling customer care.,Bihar,Website,Pending,
C000605,2025-08-25,Loan / Credit,Credit score impacted due to incorrect reporting. I was charged foreclosure charges of Rs 50000 that were never explained to me when I took the loan.,West Bengal,Mobile App,Pending,
C000606,2026-04-26,Customer Service,Unable to reach relationship manager. I have been unable to reach my assigned relationship manager despite repeated attempts.,West Bengal,Branch,Pending,
C000607,2025-06-17,Charges / Fees,Hidden charges on account statement. SMS alert charges of Rs 10000 were deducted even though I have not used the SMS alert facility.,Uttar Pradesh,Email,Resolved,18
C000608,2025-07-27,Charges / Fees,Hidden charges on account statement. SMS alert charges of Rs 500 were deducted even though I have not used the SMS alert facility.,Maharashtra,Branch,Pending,
C000609,2025-09-10,Account Opening / KYC,Account frozen due to KYC mismatch. My re-KYC request submitted online has not been processed for over a month.,Haryana,Email,Resolved,10
C000610,2026-06-22,Customer Service,Unable to reach relationship manager. I have been unable to reach my assigned relationship manager despite repeated attempts.,Kerala,Mobile App,Pending,
C000611,2025-09-09,Digital Banking / UPI,Fund transfer stuck in pending status. My UPI transaction of Rs 1200 failed on the app but the amount was debited from my account and not reversed.,Gujarat,Mobile App,Resolved,1
C000612,2026-03-27,Digital Banking / UPI,Mobile banking app not reflecting correct balance. I am unable to reset my net banking password despite following the official reset procedure multiple times.,Rajasthan,Branch,Resolved,5
C000613,2026-04-20,Account Opening / KYC,Nominee details not updated despite request. The branch keeps asking for documents that I have already submitted twice for KYC verification.,Rajasthan,Mobile App,Escalated,
C000614,2025-05-19,Customer Service,Branch staff misbehavior during visit. I have been unable to reach my assigned relationship manager despite repeated attempts.,West Bengal,Email,Resolved,19
C000615,2026-04-11,Fraud / Unauthorized Transactions,Phishing call led to unauthorized transfer. I noticed an unauthorized transaction of Rs 2500 on my prepaid card statement which I did not perform.,Kerala,Branch,Resolved,5
C000616,2026-01-07,Customer Service,No response from customer care for over a week. It has been over 20 days since I raised this grievance and there has been no update on the resolution.,Kerala,Email,Resolved,16
C000617,2026-01-25,Customer Service,Long waiting time for grievance redressal. I have been unable to reach my assigned relationship manager despite repeated attempts.,Haryana,Branch,Resolved,11
C000618,2025-11-12,ATM / Card Issues,ATM did not dispense cash but amount debited. The ATM machine retained my card and I have not received it back after multiple visits to the branch.,Punjab,Email,Resolved,13
C000619,2025-01-04,Loan / Credit,Loan foreclosure charges not disclosed. I was charged foreclosure charges of Rs 2500 that were never explained to me when I took the loan.,Tamil Nadu,Mobile App,Pending,
C000620,2026-05-21,Account Opening / KYC,Nominee details not updated despite request. I completed my KYC formalities over three weeks ago but my account is still not activated.,Gujarat,Email,Resolved,3
C000621,2025-10-12,Fraud / Unauthorized Transactions,Fraudulent transaction on my debit card. I did not share my OTP with anyone yet Rs 50000 was debited from my savings account.,Madhya Pradesh,Branch,Resolved,5
C000622,2025-02-07,Fraud / Unauthorized Transactions,Unauthorized debit of Rs 2500 from my account. Someone used my UPI ID to transfer Rs 2500 without my knowledge or consent.,Bihar,Call Centre,Resolved,16
C000623,2025-07-02,Loan / Credit,Incorrect interest calculation on my loan account. There has been an unexplained delay of over a month in disbursement of my sanctioned loan amount.,Tamil Nadu,Website,Resolved,10
C000624,2026-01-04,Customer Service,Long waiting time for grievance redressal. I have been unable to reach my assigned relationship manager despite repeated attempts.,West Bengal,Email,Closed - No Action,13
C000625,2025-10-27,Charges / Fees,Excess GST charged on banking fees. I was charged Rs 1200 as account maintenance charges without prior intimation.,Maharashtra,Call Centre,Resolved,11
C000626,2025-08-03,Loan / Credit,Credit score impacted due to incorrect reporting. I was charged foreclosure charges of Rs 25000 that were never explained to me when I took the loan.,Telangana,Website,Resolved,16
C000627,2025-11-21,Fraud / Unauthorized Transactions,OTP fraud - amount deducted without authorization. I did not share my OTP with anyone yet Rs 15000 was debited from my savings account.,Bihar,Website,Resolved,15
C000628,2026-05-20,Loan / Credit,Credit score impacted due to incorrect reporting. There has been an unexplained delay of over a month in disbursement of my sanctioned loan amount.,Odisha,Website,Escalated,
C000629,2025-01-25,ATM / Card Issues,"ATM did not dispense cash but amount debited. I attempted to withdraw Rs 4999 from an ATM but cash was not dispensed, yet my account was debited.",Karnataka,Website,Resolved,11
C000630,2025-08-06,Account Opening / KYC,Account frozen due to KYC mismatch. My account has been frozen citing a KYC mismatch even though my documents are valid and up to date.,Karnataka,Call Centre,Resolved,1
C000631,2025-11-28,Loan / Credit,EMI deducted twice in the same month. My credit score has been negatively impacted due to incorrect reporting of my loan repayment status.,Maharashtra,Call Centre,Pending,
C000632,2025-12-05,Loan / Credit,Loan foreclosure charges not disclosed. I was charged foreclosure charges of Rs 10000 that were never explained to me when I took the loan.,Odisha,Email,Escalated,
C000633,2026-04-17,Account Opening / KYC,Delay in re-KYC process. The branch keeps asking for documents that I have already submitted twice for KYC verification.,Madhya Pradesh,Call Centre,Escalated,
C000634,2025-11-20,Account Opening / KYC,Nominee details not updated despite request. My account has been frozen citing a KYC mismatch even though my documents are valid and up to date.,West Bengal,Call Centre,Resolved,16
C000635,2026-01-20,Fraud / Unauthorized Transactions,Unauthorized debit of Rs 2500 from my account. Someone used my UPI ID to transfer Rs 2500 without my knowledge or consent.,Haryana,Branch,Pending,
C000636,2025-04-30,Digital Banking / UPI,Mobile banking app not reflecting correct balance. My UPI autopay mandate deducted Rs 50000 which is more than the agreed subscription amount.,Punjab,Call Centre,Escalated,
C000637,2025-03-30,Customer Service,Complaint ticket closed without resolution. It has been over 20 days since I raised this grievance and there has been no update on the resolution.,Karnataka,Call Centre,Resolved,9
C000638,2025-06-29,Account Opening / KYC,Nominee details not updated despite request. My account has been frozen citing a KYC mismatch even though my documents are valid and up to date.,Odisha,Mobile App,Resolved,11
C000639,2025-06-07,Account Opening / KYC,"Delay in re-KYC process. Despite submitting the nominee update form, the nominee details on my account remain unchanged.",Odisha,Email,Resolved,1
C000640,2025-04-11,Customer Service,Complaint ticket closed without resolution. I was treated rudely by the branch staff when I visited to resolve my account issue.,Madhya Pradesh,Branch,Escalated,
C000641,2025-04-29,ATM / Card Issues,ATM swallowed my debit card. My card transaction was declined at a merchant outlet even though I had sufficient balance in my account.,Bihar,Mobile App,Resolved,17
C000642,2025-11-16,Loan / Credit,Incorrect interest calculation on my loan account. My credit score has been negatively impacted due to incorrect reporting of my loan repayment status.,Punjab,Call Centre,Resolved,5
C000643,2025-10-21,Customer Service,Branch staff misbehavior during visit. I was treated rudely by the branch staff when I visited to resolve my account issue.,Maharashtra,Call Centre,Resolved,6
C000644,2026-06-11,ATM / Card Issues,"ATM did not dispense cash but amount debited. I attempted to withdraw Rs 2500 from an ATM but cash was not dispensed, yet my account was debited.",Madhya Pradesh,Call Centre,Resolved,14
C000645,2025-09-08,Digital Banking / UPI,Mobile banking app not reflecting correct balance. I am unable to reset my net banking password despite following the official reset procedure multiple times.,Madhya Pradesh,Email,Resolved,4
C000646,2025-04-19,Fraud / Unauthorized Transactions,OTP fraud - amount deducted without authorization. I received a call from an unknown number claiming to be from the bank and my account was debited by Rs 2500 without my authorization.,Maharashtra,Email,Resolved,20
C000647,2025-11-16,Account Opening / KYC,Nominee details not updated despite request. My account has been frozen citing a KYC mismatch even though my documents are valid and up to date.,Punjab,Website,Resolved,12
C000648,2025-04-10,Fraud / Unauthorized Transactions,Unauthorized debit of Rs 15000 from my account. My account was compromised and Rs 15000 was withdrawn through an ATM I never visited.,Telangana,Email,Resolved,18
C000649,2025-09-22,Account Opening / KYC,"Repeated requests for KYC documents already submitted. Despite submitting the nominee update form, the nominee details on my account remain unchanged.",Telangana,Call Centre,Closed - No Action,1
C000650,2025-03-08,Charges / Fees,Hidden charges on account statement. I was charged Rs 7500 as account maintenance charges without prior intimation.,West Bengal,Email,Resolved,14
C000651,2025-05-11,Account Opening / KYC,"Account frozen due to KYC mismatch. Despite submitting the nominee update form, the nominee details on my account remain unchanged.",Maharashtra,Call Centre,Resolved,1
C000652,2026-02-15,Digital Banking / UPI,UPI autopay deducted incorrect amount. A fund transfer of Rs 1200 initiated three days ago is still showing as pending status.,Karnataka,Website,Resolved,14
C000653,2025-03-09,ATM / Card Issues,ATM swallowed my debit card. The ATM machine retained my card and I have not received it back after multiple visits to the branch.,Punjab,Email,Resolved,12
C000654,2026-05-14,Digital Banking / UPI,Mobile banking app not reflecting correct balance. My UPI transaction of Rs 7500 failed on the app but the amount was debited from my account and not reversed.,Bihar,Email,Resolved,1
C000655,2025-11-12,Loan / Credit,Delay in loan disbursement. I was charged foreclosure charges of Rs 25000 that were never explained to me when I took the loan.,Haryana,Website,Closed - No Action,11
C000656,2025-04-03,Charges / Fees,Hidden charges on account statement. I was charged Rs 10000 as account maintenance charges without prior intimation.,Delhi,Website,Resolved,10
C000657,2026-06-29,Charges / Fees,SMS alert charges billed incorrectly. My account statement shows multiple charges of Rs 500 that were never explained to me.,Karnataka,Call Centre,Resolved,4
C000658,2025-04-02,Loan / Credit,Delay in loan disbursement. My EMI of Rs 50000 was deducted twice from my account in the same billing cycle.,Bihar,Website,Resolved,4
C000659,2025-02-24,Account Opening / KYC,Account not activated despite KYC completion. My account has been frozen citing a KYC mismatch even though my documents are valid and up to date.,Maharashtra,Call Centre,Resolved,1
C000660,2026-02-08,Charges / Fees,Hidden charges on account statement. The GST charged on my banking fees this month is higher than the applicable rate.,Kerala,Email,Pending,
C000661,2025-06-27,Account Opening / KYC,Nominee details not updated despite request. The branch keeps asking for documents that I have already submitted twice for KYC verification.,Karnataka,Website,Resolved,2
